annotator_id,sector,question_category,question,answer,supporting_facts,additional_info,source_1_company,source_1_filing_type,source_1_filing_date,source_1_sec_url,source_1_pdf_filename,Rating (for reviewer),Explanation (for reviewer)
A10,Industrials,A,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A10,Industrials,A,,,,,3M,10-K,2026-02-05,https://www.google.com/search?q=site%3Asec.gov+%223M+Co%22+10-K+2026,3M_10K_2026.pdf,,
A10,Industrials,A,,,,,Haynes International,10-Q,2026-02-05,https://www.google.com/search?q=site%3Asec.gov+%22Haynes+International%22+10-Q+2026,Haynes_International_10Q_2026.pdf,,
A10,Industrials,B,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A10,Industrials,B,,,,,3M,10-K,2026-02-05,https://www.google.com/search?q=site%3Asec.gov+%223M+Co%22+10-K+2026,3M_10K_2026.pdf,,
A10,Industrials,B,,,,,Haynes International,10-Q,2026-02-05,https://www.google.com/search?q=site%3Asec.gov+%22Haynes+International%22+10-Q+2026,Haynes_International_10Q_2026.pdf,,
A10,Industrials,C,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A10,Industrials,C,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A10,Industrials,C,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A10,Industrials,C,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
